selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-091965, 708.37398020, -1159623.83812000, 1293766.13507625, 5.19, 4.28, 1.42
04-1-091970, 1613.15853893, -1169963.51132363, 1284422.64846538, 11.20, 9.01, 1.92
04-1-091979, 12527.83788995, -1163313.59994208, 1290388.81019157, 4.11, 4.01, 1.27
04-1-091984, 7795.69343156, -1175404.69194969, 1279422.44677298, 5.07, 4.30, 1.46
04-1-092030, 49951.21420500, -1163644.33561069, 1289184.04287387, 4.52, 3.62, 1.44
04-1-092269, 204515.32079212, -1152920.39928898, 1283552.41282335, 12.55, 12.16, 2.77
04-1-092299, 249832.36046701, -1146988.76404460, 1280843.20930352, 4.51, 4.06, 2.81
04-1-092317, 261852.87150208, -1125245.67667489, 1297618.58834196, 4.32, 3.68, 1.38
04-1-092885, 881726.22879677, -778879.16740376, 1278461.91184417, 5.05, 4.71, 1.65
04-1-092974, 917849.01466757, -731739.30000557, 1280886.23347319, 4.88, 4.53, 1.49
04-1-093226, 992670.99145138, -588795.79881447, 1298646.43765321, 4.34, 4.10, 1.65
04-1-093229, 985293.84820708, -593616.96018128, 1302065.16629177, 5.08, 4.79, 0.30
04-1-093825, 1116769.22386406, -144745.70688384, 1323039.65963563, 5.86, 5.69, 1.48
04-1-093912, 1074839.27901547, -411043.18087481, 1301661.54884510, 9.35, 7.69, 1.40
04-1-093949, 1025434.20676282, -480370.30726144, 1317682.74463251, 5.45, 5.33, 2.21
04-1-094984, 313728.81053488, -1076145.04328170, 1327420.37021457, 4.88, 4.37, 1.09
04-1-095097, 258749.17443289, -1113757.36227633, 1308110.14930149, 5.52, 4.56, 1.36
04-1-095101, 259747.94026262, -1120629.36684394, 1302029.02797759, 4.88, 4.65, 0.91
04-1-095198, 200311.53818024, -1130828.90505077, 1303710.10396236, 4.76, 3.43, 1.49
04-1-095231, 153222.65950355, -1132663.68338358, 1308493.23917191, 6.63, 5.76, 2.05
04-1-095321, 72983.28315908, -1137851.12984969, 1310926.01113835, 4.26, 3.85, 1.42
04-1-095437, 18913.08287585, -1113602.93321230, 1333450.24745473, 5.10, 4.45, 0.18
04-1-095470, 54390.50213530, -1117691.94435158, 1329046.70753478, 5.94, 4.99, 1.45
04-1-095499, 72454.89694112, -1114989.56305260, 1330453.80310367, 6.23, 5.87, 1.74
04-1-095607, 150091.67880761, -1109956.09696746, 1328167.42572519, 7.20, 6.22, 1.57
04-1-095683, 198357.42890469, -1088035.83165443, 1339922.05722362, 4.40, 3.63, 1.13
04-1-095711, 236661.48391978, -1102800.24826407, 1321507.36451129, 4.83, 4.06, 1.36
04-1-095729, 261696.17962416, -1094164.48876775, 1323962.96817159, 4.82, 4.21, 1.60
04-1-095867, 353895.27891099, -1049578.43754406, 1338544.73029745, 7.24, 6.77, 1.97
04-1-096231, 620689.84238854, -928963.09319258, 1330537.65487556, 5.24, 4.78, 0.68
04-1-096280, 722454.42165956, -848101.02997788, 1333170.28603814, 4.81, 4.19, 1.50
04-1-096890, 968370.50781480, -566482.36199133, 1326617.90020609, 13.49, 8.59, 1.45
04-1-097073, 1001149.62417309, -469931.94565386, 1339933.63883144, 5.12, 4.42, 1.71
04-1-097080, 1010338.37399480, -469733.83444927, 1333088.61476165, 4.60, 4.57, 2.00
04-1-097098, 1025342.41465568, -463196.85594074, 1323888.35078894, 4.28, 4.05, 1.41
04-1-097126, 1029996.91312166, -443011.46866699, 1327179.70056408, 6.26, 5.32, 1.72
04-1-097246, 1036142.03872509, -437854.03073328, 1324104.33250452, 5.41, 4.11, 1.40
04-1-097373, 1077832.79147624, -312976.18319913, 1326228.16376695, 6.80, 6.74, 2.53
04-1-097379, 1079926.95445894, -265675.23296526, 1334815.79389139, 4.54, 4.29, 0.91
04-1-097540, 1102982.49199256, -47848.66139501, 1341528.56397491, 4.52, 4.39, 3.09
04-1-097570, 1108446.24266211, -30690.65304941, 1337521.50298365, 4.41, 3.75, 0.13
04-1-098226, 1004114.52814727, -386630.26390351, 1364122.36012665, 6.96, 6.78, 1.44
04-1-098450, 975887.34782993, -498656.25861854, 1348163.41000861, 6.44, 5.35, 2.00
04-1-098520, 947033.28604043, -530233.85427762, 1356664.57715582, 6.21, 5.94, 2.94
04-1-099037, 688813.24271846, -832365.93326360, 1360610.90316001, 4.37, 4.28, 1.07
04-1-099241, 367605.51581346, -1018608.55710771, 1358624.87542753, 5.69, 4.11, 2.53
04-1-099355, 276767.99742848, -1063289.46064516, 1345872.86118725, 7.43, 6.77, 1.33
04-1-099387, 225646.84542319, -1067262.44474835, 1352254.83366869, 4.60, 3.96, 2.64
04-1-099409, 226740.15783469, -1053252.78908647, 1363013.65477631, 6.49, 6.06, 3.07
04-1-099478, 196492.85502993, -1067771.18874950, 1356397.43674141, 7.32, 6.86, 1.01
04-1-099580, 67072.62555359, -1081143.50711852, 1358377.24506737, 5.64, 5.29, 1.62
04-1-099599, 50672.83108655, -1079318.82238353, 1360537.35848683, 8.04, 7.12, 0.07
04-1-099669, 7942.26257344, -1048500.97233244, 1385330.78774824, 5.63, 5.34, 0.15
04-1-099719, 33525.51052401, -1044728.67750681, 1387795.65878374, 5.22, 4.92, 2.54
04-1-099722, 60681.83010504, -1053694.38756600, 1380074.13319249, 4.18, 4.08, 1.49
04-1-099788, 120495.43458730, -1067011.42661238, 1365842.67971177, 4.86, 4.29, 1.00
04-1-099802, 139562.25437896, -1059937.61495618, 1369530.35364451, 4.49, 3.56, 1.41
04-1-099938, 270770.24351424, -1027146.70765550, 1374849.76494877, 6.25, 3.75, 1.50
04-1-099966, 256534.11999798, -1015377.73961762, 1386274.52229559, 4.82, 4.59, 1.94
04-1-100191, 517846.33954836, -919817.30929931, 1379974.65416208, 6.19, 5.60, 2.70
04-1-100646, 944823.07018139, -510608.22195178, 1365703.98319997, 5.94, 5.00, 2.18
04-1-100840, 986905.45187857, -345454.68453319, 1387529.26094783, 5.69, 4.69, 1.25
04-1-100897, 998142.19995905, -320276.24537962, 1385530.23615742, 4.14, 4.03, 1.27
04-1-100981, 1005545.52279677, -304147.52288493, 1383810.40822301, 4.80, 4.40, 2.83
04-1-101269, 1063028.39331446, -222.64014932, 1374237.73250433, 5.08, 4.42, 0.92
04-1-101423, 1021918.65525930, -17106.17303389, 1404972.74026124, 5.56, 5.01, 1.86
04-1-101470, 1038323.28716583, -53707.53740580, 1391962.28819424, 4.52, 3.61, 2.87
04-1-101770, 983772.87072399, -296025.85239275, 1401113.26934785, 5.50, 5.02, 0.22
04-1-101911, 972419.09887809, -335020.60015312, 1400257.49546652, 7.30, 5.86, 1.47
04-1-102112, 942835.73926548, -397552.10616910, 1404126.72207469, 5.60, 3.56, 1.20
04-1-102148, 947910.10777226, -427261.11158750, 1391931.43872398, 8.07, 5.84, 1.68
04-1-102153, 940651.00912192, -437214.48861068, 1393763.94342328, 6.18, 5.20, 2.95
04-1-102159, 949402.81296902, -434029.31557718, 1388816.62286499, 6.06, 5.42, 3.14
04-1-102799, 561795.08225565, -863701.81714206, 1398915.37149996, 5.20, 4.63, 1.96
04-1-103285, 254601.94318270, -979955.68732250, 1411886.49027175, 5.34, 4.20, 2.49
04-1-103383, 215899.37560666, -1019225.02494375, 1390369.22007828, 5.91, 5.00, 1.26
04-1-103472, 222582.25168263, -998640.86013975, 1404183.86748148, 4.43, 4.27, 2.76
04-1-103649, 33381.04453610, -1000986.61939054, 1419672.58678429, 6.75, 5.32, 2.70
04-1-103814, 136921.74745117, -977964.05031407, 1429474.55778976, 4.38, 3.72, 0.96
04-1-103859, 173448.92884397, -999999.35628935, 1410133.15559339, 6.00, 4.44, 1.52
04-1-103936, 225159.35356782, -986340.21373569, 1412442.92212774, 6.57, 6.32, 1.44
04-1-103939, 221684.30609530, -979227.26715710, 1417931.16465049, 7.42, 6.66, 3.12
04-1-104151, 376988.37232947, -925212.43103740, 1421414.95861773, 4.33, 4.25, 3.13
04-1-104313, 464086.32481085, -892756.58149377, 1416392.71719503, 5.22, 4.88, 1.80
04-1-104364, 463608.53977394, -880242.59537203, 1424359.10329572, 5.31, 5.03, 1.92
04-1-104704, 569466.98604725, -811443.07468763, 1426823.83227354, 6.04, 5.12, 0.09
04-1-104771, 596271.33946995, -798213.52883009, 1423332.15101723, 6.07, 5.53, 0.20
04-1-104869, 647457.91640092, -748421.92083925, 1428013.17742417, 6.65, 5.94, 1.51
04-1-105405, 852405.59999591, -553368.32517441, 1409165.33798887, 4.39, 3.78, 1.21
04-1-105425, 853516.21947643, -545594.55653200, 1411522.37069531, 4.56, 4.21, 1.75
04-1-105504, 879204.51095829, -464356.29274314, 1424756.61826869, 4.94, 4.24, 2.12
04-1-105537, 883916.18142597, -434959.84498771, 1431104.77515156, 8.05, 5.19, 0.35
04-1-105909, 992403.33666440, -136895.33924945, 1419490.76906796, 5.54, 3.19, 1.37
04-1-106297, 1006138.28904643, -1246.79087525, 1416419.05833946, 4.75, 4.58, 2.98
04-1-106316, 991562.36074982, -19264.03224957, 1426531.36727018, 4.34, 3.80, 1.29
04-1-106663, 962892.34821095, -115977.15839307, 1441508.37128609, 4.33, 3.81, 1.91
04-1-107012, 910653.35695903, -345761.08332410, 1438651.62451435, 6.25, 4.48, 2.56
